DateTime,open,high,low,close,volume,quoteVolume,weightedAverage,date
4/1/2017 8:00:00,1095.99999999,1107.11526922,1090,1096.05999994,1313573.8064347,1194.61862994,1099.5758592,1491033600
4/1/2017 12:00:00,1096.05999989,1105,1072,1081.00895054,1503743.7056127,1380.26042062,1089.46375854,1491048000
4/1/2017 16:00:00,1081.99999998,1087.33541078,1074.78989823,1081.10689875,788104.48752354,728.99052265,1081.09016926,1491062400
4/1/2017 20:00:00,1079,1097,1069.00000101,1095.87488705,1044321.3394179,966.33951631,1080.69816228,1491076800
4/2/2017 0:00:00,1095,1095.05,1081.78915102,1083.88524682,546361.1627511,501.98517477,1088.40099311,1491091200
4/2/2017 4:00:00,1085.99999999,1100.10344202,1081.67936042,1095.81874867,1133633.223468,1038.03206345,1092.09846534,1491105600
4/2/2017 8:00:00,1098.99999998,1099.46720217,1081.68000001,1089.04767051,2249828.8890117,2064.27811707,1089.88651791,1491120000
4/2/2017 12:00:00,1087,1111.6000002,1075,1108.10286898,3950488.018575,3624.90297691,1089.81896722,1491134400
4/2/2017 16:00:00,1108.10286898,1120,1078.05694337,1107.00000036,5330715.8790891,4832.26012596,1103.1516806,1491148800
4/2/2017 20:00:00,1115,1140,1093.99999992,1106.63248382,3967691.3684785,3572.34961044,1110.66715219,1491163200
4/3/2017 0:00:00,1107.797979,1145,1101.01,1144.87999999,4028941.9031082,3557.14874388,1132.63239554,1491177600
4/3/2017 4:00:00,1144.88,1150,1128.00000092,1135.09999996,3342411.050856,2933.08699522,1139.55401128,1491192000
4/3/2017 8:00:00,1135.09999982,1142.4110075,1120.41818297,1135.5712312,2412142.3249591,2129.35331749,1132.80511277,1491206400
4/3/2017 12:00:00,1135.57123119,1142.86403888,1126,1139.25935821,1855244.1939325,1637.57703117,1132.92025878,1491220800
4/3/2017 16:00:00,1139.63000004,1151.73346751,1130,1149.00000001,2364983.4926515,2075.26839616,1139.60367585,1491235200
4/3/2017 20:00:00,1149.00000006,1161,1133.7337003,1151.2102033,3389675.7627931,2941.52920521,1152.35155809,1491249600
4/4/2017 0:00:00,1151.2102033,1159.79797979,1140.19000001,1148.17526983,2232102.7463524,1939.79193831,1150.69183569,1491264000
4/4/2017 4:00:00,1151.84211821,1152.49900001,1143.8,1152.49900001,1383161.9674223,1204.62242661,1148.21203463,1491278400
4/4/2017 8:00:00,1148.63071703,1164.43609029,1140,1147.99999999,1922595.1036013,1665.21326348,1154.56389026,1491292800
4/4/2017 12:00:00,1147.99999998,1150.91305193,1122.38204087,1132.69999994,2711670.1454545,2385.44114825,1136.75835073,1491307200
4/4/2017 16:00:00,1131.4,1149,1124.00000004,1137.41237539,1284312.6553006,1131.51383821,1135.03928271,1491321600
4/4/2017 20:00:00,1139.69999999,1143.90818148,1131.88888853,1143.90818147,1013050.3525698,890.67575446,1137.39522772,1491336000
4/5/2017 0:00:00,1143.90818147,1147.88568475,1133.8290159,1139.99999999,1017700.9160323,890.92306775,1142.299434,1491350400
4/5/2017 4:00:00,1139.99999999,1141.585532,1123.95075011,1128.00516042,1171406.1331907,1033.78594392,1133.12251929,1491364800
4/5/2017 8:00:00,1128.00516042,1131.65528846,1113.49769376,1127.271,2407059.7190304,2147.41707704,1120.90927503,1491379200
4/5/2017 12:00:00,1127.99999999,1132.10467609,1121,1121.445658,1323084.1299447,1173.884724,1127.09885638,1491393600
